route_id,service_id,trip_id,direction_id,block_id,shape_id,trip_type
200,C.495,7606764,1,9088,347130,
200,C.495,7606763,1,9083,347129,
200,C.495,7606762,1,9087,347130,
200,C.495,7606761,1,9081,347129,
200,C.495,7606760,1,9085,347130,
200,C.495,7606759,1,9086,347129,
200,C.495,7606758,1,9084,347130,
200,C.495,7606757,1,9082,347129,
200,C.495,7606756,1,9088,347129,
200,C.495,7606755,1,9080,347129,
200,C.495,7606754,1,9087,347131,
200,C.495,7606753,1,9083,347129,
200,C.495,7606752,1,9085,347129,
200,C.495,7606751,1,9081,347129,
200,C.495,7606750,1,9084,347129,
200,C.495,7606749,1,9086,347129,
200,C.495,7606748,1,9082,347131,
200,C.495,7606747,1,9088,347131,
200,C.495,7606746,1,9080,347129,
200,C.495,7606745,1,9087,347129,
200,C.495,7606744,1,9083,347131,
200,C.495,7606743,1,9085,347129,
200,C.495,7606742,1,9081,347131,
200,C.495,7606741,1,9084,347131,
200,C.495,7606740,1,9086,347131,
200,C.495,7606739,1,9082,347129,
200,C.495,7606738,1,9088,347129,
200,C.495,7606737,1,9080,347131,
200,C.495,7606736,1,9087,347129,
200,C.495,7606735,1,9083,347129,
200,C.495,7606734,1,9085,347129,
200,C.495,7606733,1,9081,347129,
290,C.495,7607295,0,9061,347139,
290,C.495,7607294,0,9062,347139,
290,C.495,7607293,0,9060,347139,
200,C.495,7606732,1,9084,347129,
200,C.495,7606731,1,9086,347129,
200,C.495,7606730,1,9082,347129,
200,C.495,7606729,1,9088,347129,
200,C.495,7606728,1,9080,347129,
200,C.495,7606727,1,9087,347129,
200,C.495,7606726,1,9083,347129,
200,C.495,7606725,1,9085,347129,
200,C.495,7606724,1,9081,347129,
200,C.495,7606723,1,9084,347129,
200,C.495,7606722,1,9086,347132,
200,C.495,7606721,1,9070,347133,
200,C.495,7606720,1,9082,347129,
200,C.495,7606719,1,9069,347133,
200,C.495,7606718,1,9080,347129,
200,C.495,7606717,1,9067,347133,
200,C.495,7606716,1,9083,347129,
200,C.495,7606715,1,9066,347133,
200,C.495,7606714,1,9065,347133,
200,C.495,7606713,1,9081,347129,
200,C.495,7606712,1,9084,347132,
200,C.495,7606711,1,9082,347132,
200,C.495,7606710,1,9080,347132,
200,C.495,7606709,1,9064,347132,
200,C.495,7606708,1,9063,347132,
200,C.495,7606707,1,9061,347132,
90,C.495,7603805,1,9046,347014,
90,C.495,7603804,1,9045,347014,
90,C.495,7603803,1,9049,347014,
90,C.495,7603802,1,9048,347014,
90,C.495,7603801,1,9047,347015,
90,C.495,7603800,1,9042,347014,
90,C.495,7603799,1,9046,347015,
90,C.495,7603798,1,9041,347014,
90,C.495,7603797,1,9045,347015,
90,C.495,7603796,1,9040,347014,
90,C.495,7603795,1,9049,347015,
90,C.495,7603794,1,9044,347014,
90,C.495,7603793,1,9048,347015,
90,C.495,7603792,1,9043,347014,
90,C.495,7603791,1,9042,347015,
90,C.495,7603790,1,9047,347015,
90,C.495,7603789,1,9041,347015,
90,C.495,7603788,1,9046,347015,
90,C.495,7603787,1,9040,347015,
90,C.495,7603786,1,9045,347015,
90,C.495,7603785,1,9044,347015,
90,C.495,7603784,1,9049,347015,
90,C.495,7603783,1,9043,347015,
90,C.495,7603782,1,9048,347015,
90,C.495,7603781,1,9042,347015,
90,C.495,7603780,1,9047,347015,
90,C.495,7603779,1,9041,347015,
90,C.495,7603778,1,9046,347015,
90,C.495,7603777,1,9040,347015,
90,C.495,7603776,1,9045,347015,
90,C.495,7603775,1,9044,347015,
90,C.495,7603774,1,9049,347015,
90,C.495,7603773,1,9043,347015,
90,C.495,7603772,1,9048,347015,
90,C.495,7603771,1,9042,347015,
90,C.495,7603770,1,9047,347015,
90,C.495,7603769,1,9041,347015,
90,C.495,7603768,1,9046,347015,
90,C.495,7603767,1,9040,347015,
90,C.495,7603766,1,9045,347015,
90,C.495,7603765,1,9044,347015,
90,C.495,7603764,1,9049,347015,
90,C.495,7603763,1,9043,347015,
90,C.495,7603762,1,9048,347015,
90,C.495,7603761,1,9042,347015,
90,C.495,7603760,1,9047,347015,
90,C.495,7603759,1,9041,347015,
90,C.495,7603758,1,9046,347015,
90,C.495,7603757,1,9040,347015,
90,C.495,7603756,1,9045,347015,
90,C.495,7603755,1,9044,347015,
90,C.495,7603754,1,9043,347015,
90,C.495,7603753,1,9042,347015,
90,C.495,7603752,1,9041,347015,
90,C.495,7603751,1,9040,347015,
90,C.495,7603750,1,9044,347015,
90,C.495,7603749,1,9043,347015,
90,C.495,7603748,1,9042,347015,
90,C.495,7603747,1,9041,347015,
90,C.495,7603746,1,9040,347015,
200,C.495,7606555,0,9065,347124,
200,C.495,7606554,0,9070,347128,
200,C.495,7606553,0,9068,347124,
200,C.495,7606552,0,9069,347128,
200,C.495,7606551,0,9082,347125,
200,C.495,7606550,0,9083,347125,
200,C.495,7606549,0,9081,347125,
200,C.495,7606548,0,9086,347125,
200,C.495,7606547,0,9063,347128,
200,C.495,7606546,0,9082,347125,
200,C.495,7606545,0,9080,347124,
200,C.495,7606544,0,9083,347125,
200,C.495,7606543,0,9061,347128,
200,C.495,7606542,0,9081,347125,
200,C.495,7606541,0,9086,347125,
200,C.495,7606540,0,9082,347125,
200,C.495,7606539,0,9088,347125,
200,C.495,7606538,0,9080,347125,
200,C.495,7606537,0,9087,347125,
200,C.495,7606536,0,9083,347125,
200,C.495,7606535,0,9085,347125,
200,C.495,7606534,0,9081,347125,
200,C.495,7606533,0,9084,347125,
200,C.495,7606532,0,9086,347125,
200,C.495,7606531,0,9082,347125,
200,C.495,7606530,0,9088,347125,
290,C.495,7607562,1,9070,347140,
290,C.495,7607561,1,9069,347140,
290,C.495,7607560,1,9067,347140,
290,C.495,7607559,1,9065,347140,
290,C.495,7607558,1,9068,347140,
290,C.495,7607557,1,9070,347140,
290,C.495,7607556,1,9069,347140,
290,C.495,7607555,1,9063,347140,
290,C.495,7607554,1,9067,347140,
290,C.495,7607553,1,9066,347140,
290,C.495,7607552,1,9061,347140,
290,C.495,7607551,1,9065,347140,
290,C.495,7607550,1,9062,347140,
290,C.495,7607549,1,9068,347140,
290,C.495,7607548,1,9060,347140,
290,C.495,7607547,1,9070,347140,
290,C.495,7607546,1,9064,347140,
290,C.495,7607545,1,9069,347140,
290,C.495,7607544,1,9063,347140,
290,C.495,7607543,1,9067,347140,
290,C.495,7607542,1,9066,347140,
290,C.495,7607541,1,9061,347140,
290,C.495,7607540,1,9065,347140,
290,C.495,7607539,1,9062,347140,
290,C.495,7607538,1,9068,347140,
190,C.495,7605614,1,9067,347104,
190,C.495,7605613,1,9065,347106,
190,C.495,7605612,1,9068,347106,
190,C.495,7605611,1,9070,347105,
190,C.495,7605610,1,9069,347105,
190,C.495,7605609,1,9067,347105,
190,C.495,7605608,1,9066,347104,
190,C.495,7605607,1,9065,347105,
190,C.495,7605606,1,9062,347104,
190,C.495,7605605,1,9068,347105,
190,C.495,7605604,1,9060,347104,
190,C.495,7605603,1,9070,347105,
190,C.495,7605602,1,9064,347104,
190,C.495,7605601,1,9069,347105,
190,C.495,7605600,1,9063,347105,
190,C.495,7605599,1,9067,347105,
190,C.495,7605598,1,9066,347105,
190,C.495,7605597,1,9061,347105,
190,C.495,7605596,1,9065,347105,
190,C.495,7605595,1,9062,347105,
190,C.495,7605594,1,9068,347105,
190,C.495,7605593,1,9060,347105,
190,C.495,7605592,1,9070,347105,
190,C.495,7605591,1,9064,347105,
190,C.495,7605590,1,9069,347105,
190,C.495,7605589,1,9063,347105,
190,C.495,7605588,1,9067,347103,
190,C.495,7605587,1,9066,347103,
190,C.495,7605586,1,9061,347105,
190,C.495,7605585,1,9065,347103,
190,C.495,7605584,1,9062,347105,
190,C.495,7605583,1,9068,347105,
190,C.495,7605582,1,9060,347105,
190,C.495,7605581,1,9070,347105,
190,C.495,7605580,1,9064,347105,
190,C.495,7605579,1,9069,347105,
190,C.495,7605578,1,9063,347105,
190,C.495,7605577,1,9067,347105,
190,C.495,7605576,1,9066,347105,
190,C.495,7605575,1,9061,347105,
190,C.495,7605574,1,9065,347105,
190,C.495,7605573,1,9062,347103,
190,C.495,7605572,1,9068,347105,
190,C.495,7605571,1,9060,347103,
190,C.495,7605570,1,9070,347105,
190,C.495,7605569,1,9064,347103,
190,C.495,7605568,1,9069,347105,
190,C.495,7605567,1,9063,347105,
190,C.495,7605566,1,9067,347105,
190,C.495,7605565,1,9066,347105,
190,C.495,7605564,1,9061,347105,
190,C.495,7605563,1,9065,347105,
190,C.495,7605562,1,9062,347105,
190,C.495,7605561,1,9068,347105,
190,C.495,7605560,1,9060,347105,
190,C.495,7605559,1,9064,347105,
190,C.495,7605558,1,9063,347105,
190,C.495,7605557,1,9061,347105,
190,C.495,7605556,1,9062,347105,
190,C.495,7605555,1,9060,347105,
190,C.495,7605554,1,9064,347105,
190,C.495,7605553,1,9063,347105,
190,C.495,7605552,1,9061,347105,
190,C.495,7605551,1,9062,347105,
90,C.495,7603601,0,9047,347011,
90,C.495,7603600,0,9046,347011,
90,C.495,7603599,0,9045,347011,
90,C.495,7603598,0,9049,347011,
90,C.495,7603597,0,9048,347011,
90,C.495,7603596,0,9042,347011,
90,C.495,7603595,0,9047,347011,
90,C.495,7603594,0,9041,347011,
90,C.495,7603593,0,9046,347011,
90,C.495,7603592,0,9040,347011,
90,C.495,7603591,0,9045,347011,
90,C.495,7603590,0,9044,347011,
90,C.495,7603589,0,9049,347011,
90,C.495,7603588,0,9043,347011,
90,C.495,7603587,0,9048,347011,
90,C.495,7603586,0,9042,347011,
200,C.495,7606529,0,9080,347125,
200,C.495,7606528,0,9087,347125,
200,C.495,7606527,0,9083,347125,
200,C.495,7606526,0,9085,347125,
200,C.495,7606525,0,9081,347125,
200,C.495,7606524,0,9084,347125,
200,C.495,7606523,0,9086,347125,
200,C.495,7606522,0,9082,347125,
200,C.495,7606521,0,9088,347125,
200,C.495,7606520,0,9080,347125,
200,C.495,7606519,0,9087,347125,
200,C.495,7606518,0,9083,347125,
200,C.495,7606517,0,9085,347125,
200,C.495,7606516,0,9081,347125,
200,C.495,7606515,0,9084,347125,
200,C.495,7606514,0,9086,347125,
200,C.495,7606513,0,9082,347125,
200,C.495,7606512,0,9088,347125,
200,C.495,7606511,0,9080,347125,
200,C.495,7606510,0,9087,347125,
200,C.495,7606509,0,9083,347125,
200,C.495,7606508,0,9085,347125,
200,C.495,7606507,0,9081,347125,
200,C.495,7606506,0,9084,347125,
200,C.495,7606505,0,9086,347125,
200,C.495,7606504,0,9088,347126,
200,C.495,7606503,0,9082,347125,
200,C.495,7606502,0,9087,347126,
200,C.495,7606501,0,9080,347125,
200,C.495,7606500,0,9085,347126,
200,C.495,7606499,0,9083,347125,
200,C.495,7606498,0,9081,347125,
200,C.495,7606497,0,9084,347125,
200,C.495,7606496,0,9082,347125,
200,C.495,7606495,0,9080,347125,
200,C.495,7606494,0,9083,347126,
200,C.495,7606493,0,9081,347127,
290,C.495,7607537,1,9060,347140,
290,C.495,7607536,1,9070,347140,
290,C.495,7607535,1,9064,347140,
290,C.495,7607534,1,9069,347140,
290,C.495,7607533,1,9063,347140,
290,C.495,7607532,1,9067,347140,
290,C.495,7607531,1,9066,347140,
290,C.495,7607530,1,9061,347140,
290,C.495,7607529,1,9065,347140,
290,C.495,7607528,1,9062,347140,
290,C.495,7607527,1,9068,347140,
290,C.495,7607526,1,9060,347140,
290,C.495,7607525,1,9070,347140,
290,C.495,7607524,1,9064,347140,
290,C.495,7607523,1,9069,347140,
290,C.495,7607522,1,9063,347140,
290,C.495,7607521,1,9067,347140,
290,C.495,7607520,1,9066,347140,
290,C.495,7607519,1,9061,347140,
290,C.495,7607518,1,9065,347140,
290,C.495,7607517,1,9062,347140,
290,C.495,7607516,1,9070,347140,
290,C.495,7607515,1,9068,347140,
290,C.495,7607514,1,9060,347140,
290,C.495,7607513,1,9069,347140,
290,C.495,7607512,1,9064,347140,
290,C.495,7607511,1,9067,347140,
290,C.495,7607510,1,9066,347140,
290,C.495,7607509,1,9063,347140,
290,C.495,7607508,1,9065,347140,
290,C.495,7607507,1,9061,347140,
290,C.495,7607506,1,9062,347140,
290,C.495,7607505,1,9060,347140,
290,C.495,7607504,1,9064,347140,
290,C.495,7607503,1,9063,347140,
290,C.495,7607502,1,9061,347140,
290,C.495,7607501,1,9060,347141,
